r,c,lc0,lc1,dem,slp,asp,twi,DD5,PAS,AHM
29145.0,31569.0,8.0,2.0,298.0,0.643,131.325,13.799,908.0,189.0,13.1
46743.0,64552.0,10.0,4.0,261.0,0.079,356.987,85.806,659.0,126.0,6.2
41171.0,85186.0,14.0,14.0,339.0,0.061,208.294,128.482,108.0,99.0,-34.5
83541.0,69170.0,10.0,4.0,743.0,0.05,204.444,223.834,1004.0,157.0,17.7
57476.0,55448.0,10.0,10.0,1398.0,0.477,289.384,16.562,319.0,433.0,4.2
39325.0,52321.0,6.0,6.0,767.0,0.172,37.146,39.433,627.0,213.0,7.7
29536.0,5746.0,14.0,14.0,839.0,0.847,324.2,9.321,599.0,1099.0,4.1
20156.0,49623.0,10.0,10.0,14.0,0.2339999999999999,286.504,31.941,243.0,135.0,-9.1
81480.0,51425.0,10.0,10.0,1468.0,0.387,249.227,17.545,696.0,301.0,16.0
43959.0,38117.0,5.0,5.0,1027.0,0.259,174.472,26.209,686.0,142.0,13.1
30781.0,55448.0,10.0,4.0,40.0,0.001,278.13,7901.005999999999,407.0,113.0,1.3
67057.0,80889.0,10.0,10.0,388.0,0.083,264.289,81.223,685.0,152.0,8.6
45195.0,49056.0,8.0,8.0,1191.0,0.32,261.027,24.645,399.0,325.0,6.6
50870.0,41197.0,14.0,4.0,1160.0,0.361,50.617,21.875,489.0,154.0,14.3
66934.0,45717.0,6.0,6.0,1331.0,0.0819999999999999,319.084,127.445,346.0,468.0,9.4
24950.0,49971.0,14.0,14.0,1998.0,0.216,22.619,31.395,143.0,367.0,-5.6
51886.0,55196.0,14.0,14.0,1721.0,0.537,20.4,18.773,190.0,552.0,0.7
13196.0,39445.0,6.0,6.0,147.0,0.141,49.763000000000005,88.77600000000001,517.0,140.0,-7.6
34616.0,51074.0,6.0,5.0,439.0,0.102,238.24,66.102,738.0,132.0,7.1
27668.0,13805.0,7.0,7.0,119.0,0.174,236.689,38.981,936.0,166.0,16.9
25692.0,35437.0,11.0,8.0,500.0,0.2239999999999999,121.328,36.494,742.0,238.0,5.8
58517.0,65687.0,10.0,4.0,233.0,0.044,338.199,191.512,963.0,137.0,13.8
44974.0,45731.0,14.0,14.0,1681.0,0.685,261.968,16.525,222.0,444.0,2.5
13875.0,24680.0,8.0,8.0,107.0,0.15,160.559,45.279,558.0,145.0,13.7
31556.0,94223.0,14.0,14.0,191.0,0.03,146.308,367.337,105.0,57.0,-84.1
20446.0,27487.0,11.0,11.0,79.0,0.17,149.036,39.997,974.0,171.0,13.7
86904.0,86787.0,14.0,10.0,431.0,0.106,258.69,64.036,1061.0,146.0,16.3
41096.0,76259.0,10.0,10.0,526.0,0.001,98.13,8188.688,160.0,127.0,-11.6
4296.0,30306.0,8.0,8.0,156.0,0.188,315.0,39.751,262.0,141.0,6.0
12448.0,38256.0,8.0,8.0,281.0,0.047,254.74400000000003,143.186,507.0,188.0,-4.8
27350.0,9721.0,8.0,8.0,360.0,0.657,244.895,14.236,622.0,251.0,10.8
48942.0,57331.0,14.0,10.0,1394.0,0.1889999999999999,351.158,54.274,236.0,487.0,0.4
91695.0,62062.0,8.0,8.0,655.0,0.018,333.432,365.074,1241.0,160.0,22.2
21438.0,14342.0,6.0,6.0,81.0,0.0579999999999999,261.869,115.44,798.0,205.0,16.3
13968.0,37874.0,9.0,8.0,302.0,0.113,83.65899999999999,74.314,519.0,164.0,-4.7
26961.0,10781.0,6.0,6.0,456.0,0.064,315.0,104.945,636.0,255.0,10.3
39958.0,37815.0,11.0,11.0,1313.0,0.298,26.565,25.14,535.0,181.0,11.2
27885.0,76333.0,10.0,10.0,153.0,0.033,180.0,204.071,128.0,85.0,-34.3
25627.0,41338.0,10.0,10.0,545.0,0.134,299.744,62.601000000000006,626.0,123.0,7.8
80694.0,49036.0,14.0,14.0,2012.0,0.325,140.194,25.848000000000003,290.0,535.0,8.5
66708.0,94012.0,10.0,10.0,333.0,0.06,15.945,112.125,444.0,130.0,-2.9
29626.0,7722.0,10.0,10.0,755.0,0.146,265.1,80.187,392.0,888.0,4.0
32984.0,86438.0,14.0,14.0,297.0,0.05,335.555,167.08,99.0,87.0,-49.5
51627.0,86551.0,10.0,10.0,350.0,0.105,251.565,74.956,223.0,108.0,-19.4
88006.0,74136.0,7.0,7.0,524.0,0.005,314.986,2013.309,1170.0,134.0,20.3
29442.0,42764.0,8.0,5.0,164.0,0.013,341.566,683.06,1098.0,81.0,21.2
49089.0,64132.0,10.0,4.0,438.0,0.017,225.016,384.746,657.0,139.0,5.3
